column_name,count,mean,std,min,25%,50%,75%,max
WGTP21,74947.0,18.305669339666697,24.04012715374866,0.0,4.0,11.0,23.0,499.0
WGTP22,74947.0,18.29870441778857,24.255161044586806,0.0,4.0,11.0,24.0,547.0
WGTP23,74947.0,18.30005203677265,24.27598646119382,-3.0,4.0,11.0,23.0,440.0
WGTP24,74947.0,18.300025351248216,24.440074402707143,0.0,4.0,11.0,23.0,498.0
WGTP25,74947.0,18.301279570896767,24.08718871404106,-2.0,4.0,11.0,24.0,418.0
WGTP26,74947.0,18.29949164075947,24.250682677287937,0.0,4.0,11.0,24.0,410.0
WGTP27,74947.0,18.30018546439484,24.080077611963283,0.0,4.0,11.0,24.0,439.0
WGTP28,74947.0,18.301399655756736,24.217428658198514,0.0,4.0,11.0,24.0,490.0
WGTP29,74947.0,18.30114614327458,24.162007221135642,-1.0,4.0,11.0,24.0,557.0
WGTP30,74947.0,18.30221356425207,24.41897577081268,-2.0,4.0,11.0,24.0,496.0
WGTP31,74947.0,18.300692489359147,24.430404337079032,-3.0,4.0,11.0,23.0,605.0
WGTP32,74947.0,18.30163982547667,24.398974450030465,-6.0,4.0,11.0,23.0,479.0
WGTP33,74947.0,18.301879995196607,24.241113029836633,0.0,4.0,11.0,23.0,464.0
WGTP34,74947.0,18.301212857085673,24.352151059501203,0.0,4.0,11.0,23.0,512.0
WGTP35,74947.0,18.29930484208841,24.228463974142965,-2.0,4.0,11.0,24.0,593.0
WGTP36,74947.0,18.299531669046125,24.20133628987877,0.0,4.0,11.0,24.0,522.0
WGTP37,74947.0,18.299118043417348,24.38763107954111,0.0,4.0,11.0,24.0,467.0
WGTP38,74947.0,18.29859767569082,24.299092098255546,-5.0,4.0,11.0,24.0,599.0
WGTP39,74947.0,18.30166651100111,24.14421602313643,-1.0,4.0,11.0,23.0,634.0
WGTP40,74947.0,18.302293620825385,24.34523595379966,0.0,4.0,11.0,24.0,488.0
WGTP41,74947.0,18.299184757228442,24.443979987091456,0.0,4.0,11.0,23.0,401.0
WGTP42,74947.0,18.3011594860368,24.185326060529622,-5.0,4.0,11.0,23.0,424.0
WGTP43,74947.0,18.299838552577153,24.545166298949972,0.0,4.0,11.0,24.0,518.0
